#{"t_start": 1761514378.3104384, "env_id": "MiniWorld-Maze-v0"}
r,l,t
38.324827,300,341.980893
40.379218,300,345.952578
37.210886,300,349.292028
141.568675,300,352.555618
36.788108,300,356.544619
39.424572,300,359.856136
43.241524,300,363.496578
41.160642,300,367.7581
30.618966,300,371.068144
31.929215,300,374.200728
42.79276,300,378.129244
42.995839,218,380.649244
40.620871,300,383.909488
39.829051,300,387.662502
34.801461,74,388.750007
42.868567,300,392.052049
36.70347,300,395.306479
40.762519,300,399.094999
31.982162,300,402.372998
36.583422,300,405.744875
38.786395,300,409.60842
48.40851,300,413.120251
40.352335,300,416.500372
35.714794,300,420.740491
37.034454,300,424.033803
48.303198,300,427.380803
131.608837,300,431.139746
28.873149,300,434.434261
51.221223,300,437.805731
41.77076,300,441.506252
45.899275,300,444.779768
45.054822,300,448.24877
39.103653,300,451.942291
37.566688,300,455.361849
37.86045,300,459.035222
39.919936,300,462.718688
38.011649,300,466.173261
38.147448,300,469.65678
42.655226,300,473.52207
38.925507,300,476.889586
42.839797,300,480.471654
34.483297,300,484.196965
38.19541,300,487.54648
46.273498,300,491.228998
41.179778,300,494.916514
44.669647,300,498.443514
39.756867,300,502.007512
38.382206,300,505.796028
41.853266,300,509.108028
36.31591,300,512.774852
38.007029,300,516.383363
43.317894,300,519.706364
27.581902,300,523.550023
34.491202,255,526.665539
32.22664,300,529.990539
33.236726,300,533.701054
24.572491,300,537.260572
30.875498,300,540.508088
31.558647,300,544.202869
122.184662,300,547.848418
24.49333,300,551.246933
41.204042,300,555.351222
29.122794,300,558.863926
33.545552,300,562.209443
16.96911,14,562.682441
24.169408,300,566.804958
35.151654,300,570.262958
32.283832,300,573.752473
34.692022,300,579.694402
48.181873,300,583.057579
41.860756,300,586.524406
38.193894,300,591.487122
31.359848,300,595.180784
32.628128,300,598.560299
30.569327,300,602.644791
39.66072,300,606.072307
34.999096,300,609.569307
40.837141,300,613.241825
43.566474,300,616.61234
38.95352,300,620.169607
29.881246,300,623.922123
37.308919,300,627.493992
48.845574,300,631.217729
46.951218,143,633.58201
42.459047,300,636.963525
37.7278,300,640.418525
47.732451,300,644.357612
